address,city,zip,price,beds,baths,sqft,lot_size,year_built,days_on_market,price_per_sqft,property_type,sold_date,latitude,longitude,est_units,est_rent_per_unit,est_gross_monthly_rent,est_gross_annual_rent,vacancy_loss,effective_gross_income,est_annual_taxes,grm
624 Clark St,Evanston,60201,1235000,9.0,3.0,,4791.0,1921.0,,,Multi-Family (2-4 Unit),March-19-2026,42.0495927,-87.6794037,4,2198,8792,105504,6013.73,99490.27,22230.0,11.71
8822 Forestview Rd,Evanston,60203,730000,6.0,4.0,3200.0,8055.0,1956.0,,228.0,Multi-Family (2-4 Unit),January-7-2026,42.0416504,-87.7144588,3,2198,6594,79128,4510.3,74617.7,13140.0,9.23
1801 Lyons St,Evanston,60201,437000,6.0,2.0,,,1913.0,,,Multi-Family (2-4 Unit),January-23-2026,42.0503915,-87.6975994,3,2198,6594,79128,4510.3,74617.7,7866.0,5.52
1633 Mcdaniel Ave,Evanston,60201,567825,8.0,3.0,,8350.0,1906.0,,,Multi-Family (2-4 Unit),February-6-2026,42.0476526,-87.7080169,4,2198,8792,105504,6013.73,99490.27,10220.85,5.38
1214 Hull Ter,Evanston,60202,610000,6.0,4.0,,5723.0,1956.0,,,Multi-Family (2-4 Unit),October-29-2025,42.0242928,-87.6893754,3,2198,6594,79128,4510.3,74617.7,10980.0,7.71
1213 Darrow Ave,Evanston,60202,449000,4.0,2.0,,4791.0,1892.0,,,Multi-Family (2-4 Unit),May-12-2026,42.0398354,-87.6973115,2,2198,4396,52752,3006.86,49745.14,8082.0,8.51
1029 Hull Ter,Evanston,60202,850000,6.0,3.0,,,1923.0,,,Multi-Family (2-4 Unit),June-27-2025,42.0248127,-87.6867401,3,2198,6594,79128,4510.3,74617.7,15300.0,10.74
1406 Brummel St,Evanston,60202,710000,8.0,5.0,,,1953.0,,,Multi-Family (2-4 Unit),December-2-2025,42.0212384,-87.6920394,4,2198,8792,105504,6013.73,99490.27,12780.0,6.73
1824 Crain St,Evanston,60202,527500,5.0,4.0,,5550.0,1923.0,,,Multi-Family (2-4 Unit),July-14-2025,42.0391334,-87.6989977,3,2198,6594,79128,4510.3,74617.7,9495.0,6.67
2024 Maple Ave,Evanston,60201,675000,5.0,2.0,,3375.0,1894.0,,,Multi-Family (2-4 Unit),June-30-2025,42.0548872,-87.685009,3,2198,6594,79128,4510.3,74617.7,12150.0,8.53
1909 Asbury Ave,Evanston,60201,470000,6.0,3.0,,,1890.0,,,Multi-Family (2-4 Unit),June-20-2025,42.0526516,-87.6898287,3,2198,6594,79128,4510.3,74617.7,8460.0,5.94
1810 Monroe St,Evanston,60202,660000,7.0,4.5,,4356.0,1956.0,,,Multi-Family (2-4 Unit),October-15-2025,42.0305106,-87.6983454,4,2198,8792,105504,6013.73,99490.27,11880.0,6.26
1915 Asbury Ave,Evanston,60201,460000,4.0,2.0,,,1890.0,,,Multi-Family (2-4 Unit),October-24-2025,42.052856,-87.6897764,2,2198,4396,52752,3006.86,49745.14,8280.0,8.72
1232 Florence Ave #1234,Evanston,60202,815000,7.0,3.0,3230.0,6561.0,1915.0,,252.0,Multi-Family (2-4 Unit),,42.0406411,-87.694846,4,2198,8792,105504,6013.73,99490.27,14670.0,7.72
1029 Hull Ter #2,Evanston,60202,850000,7.0,3.0,3650.0,6084.0,1925.0,,233.0,Multi-Family (2-4 Unit),,42.0248176,-87.6867234,4,2198,8792,105504,6013.73,99490.27,15300.0,8.06
1214 Hull Ter #1,Evanston,60202,610000,6.0,3.5,3712.0,5775.0,1956.0,,164.0,Multi-Family (2-4 Unit),,42.0242928,-87.6893754,3,2198,6594,79128,4510.3,74617.7,10980.0,7.71
1917 Asbury Ave,Evanston,60201,460000,6.0,2.0,2756.0,2500.0,1890.0,,167.0,Multi-Family (2-4 Unit),,42.0530433,-87.689811,3,2198,6594,79128,4510.3,74617.7,8280.0,5.81
8822 Forestview Rd #2,Evanston,60203,730000,6.0,4.0,3360.0,8055.0,1956.0,,217.0,Multi-Family (5+ Unit),,42.0416525,-87.7144363,3,2198,6594,79128,4510.3,74617.7,13140.0,9.23
1009 Dewey Ave,Evanston,60202,825000,6.0,2.0,2224.0,8150.0,1924.0,,371.0,Multi-Family (2-4 Unit),,42.0361915,-87.695812,3,2198,6594,79128,4510.3,74617.7,14850.0,10.43
1218 Dewey Ave Unit 2FL,Evanston,60202,525000,4.0,2.0,1824.0,5184.0,1930.0,,288.0,Multi-Family (2-4 Unit),,42.0401148,-87.6963879,2,2198,4396,52752,3006.86,49745.14,9450.0,9.95
1406 Brummel St Unit 1W,Evanston,60202,710000,8.0,6.0,3960.0,6450.0,1952.0,,179.0,Multi-Family (5+ Unit),,42.0212451,-87.6921221,4,2198,8792,105504,6013.73,99490.27,12780.0,6.73
