address,city,zip,price,beds,baths,sqft,lot_size,year_built,days_on_market,price_per_sqft,property_type,sold_date,latitude,longitude
1633 Mcdaniel Ave,Evanston,60201,567825,8.0,3.0,,8350.0,1906.0,,,Multi-Family (2-4 Unit),February-6-2026,42.0476526,-87.7080169
1214 Hull Ter,Evanston,60202,610000,6.0,4.0,,5723.0,1956.0,,,Multi-Family (2-4 Unit),October-29-2025,42.0242928,-87.6893754
1213 Darrow Ave,Evanston,60202,449000,4.0,2.0,,4791.0,1892.0,,,Multi-Family (2-4 Unit),May-12-2026,42.0398354,-87.6973115
1029 Hull Ter,Evanston,60202,850000,6.0,3.0,,,1923.0,,,Multi-Family (2-4 Unit),June-27-2025,42.0248127,-87.6867401
1406 Brummel St,Evanston,60202,710000,8.0,5.0,,,1953.0,,,Multi-Family (2-4 Unit),December-2-2025,42.0212384,-87.6920394
1824 Crain St,Evanston,60202,527500,5.0,4.0,,5550.0,1923.0,,,Multi-Family (2-4 Unit),July-14-2025,42.0391334,-87.6989977
2024 Maple Ave,Evanston,60201,675000,5.0,2.0,,3375.0,1894.0,,,Multi-Family (2-4 Unit),June-30-2025,42.0548872,-87.685009
1909 Asbury Ave,Evanston,60201,470000,6.0,3.0,,,1890.0,,,Multi-Family (2-4 Unit),June-20-2025,42.0526516,-87.6898287
1810 Monroe St,Evanston,60202,660000,7.0,4.5,,4356.0,1956.0,,,Multi-Family (2-4 Unit),October-15-2025,42.0305106,-87.6983454
1915 Asbury Ave,Evanston,60201,460000,4.0,2.0,,,1890.0,,,Multi-Family (2-4 Unit),October-24-2025,42.052856,-87.6897764
1232 Florence Ave #1234,Evanston,60202,815000,7.0,3.0,3230.0,6561.0,1915.0,,252.0,Multi-Family (2-4 Unit),,42.0406411,-87.694846
1029 Hull Ter #2,Evanston,60202,850000,7.0,3.0,3650.0,6084.0,1925.0,,233.0,Multi-Family (2-4 Unit),,42.0248176,-87.6867234
1214 Hull Ter #1,Evanston,60202,610000,6.0,3.5,3712.0,5775.0,1956.0,,164.0,Multi-Family (2-4 Unit),,42.0242928,-87.6893754
1917 Asbury Ave,Evanston,60201,460000,6.0,2.0,2756.0,2500.0,1890.0,,167.0,Multi-Family (2-4 Unit),,42.0530433,-87.689811
8822 Forestview Rd #2,Evanston,60203,730000,6.0,4.0,3360.0,8055.0,1956.0,,217.0,Multi-Family (5+ Unit),,42.0416525,-87.7144363
1009 Dewey Ave,Evanston,60202,825000,6.0,2.0,2224.0,8150.0,1924.0,,371.0,Multi-Family (2-4 Unit),,42.0361915,-87.695812
1218 Dewey Ave Unit 2FL,Evanston,60202,525000,4.0,2.0,1824.0,5184.0,1930.0,,288.0,Multi-Family (2-4 Unit),,42.0401148,-87.6963879
1406 Brummel St Unit 1W,Evanston,60202,710000,8.0,6.0,3960.0,6450.0,1952.0,,179.0,Multi-Family (5+ Unit),,42.0212451,-87.6921221
